Operating Lease Converter,,,,,,,
The yellow cells are input cells. Please enter them.,,,,,,,
Inputs,,,,,,,"Until 2019, this worksheet had to be used for every firm with operating lease commitments, since accountants treated operating lease expenses as operating expenses. In 2019, IFRS and GAAP made the long-overdue change to treat leases as debt, and for firms that follow these standards, the conversion that I am doing on this spreadsheet is being done by accountants, with lease debt and operating income already adjusted. If that is the case, and you showed the lease debt as part of debt in the input page, please do not use this spreadsheet, since you will be double counting."
Operating lease expense in current year =,,,,295,,,
Operating Lease Commitments (From footnote to financials),,,,,,,
Year,Commitment,"! Year 1 is next year, â€¦.",,,,,
1,287,,,,,,
2,235,,,,,,
3,194,,,,,,
4,151,,,,,,
5,98,,,,,,
6 and beyond,605,,,,,,
,,,,,,,
Output,,,,,,,
Pre-tax Cost of Debt =,,='Cost of capital worksheet'!B37,"! If you do not have a cost of debt, use the synthetic rating estimator",,,,
,,,,,,,
,,,,,,,
Number of years embedded in yr 6 estimate =,,,"=IF(B12>0,ROUND(B12/AVERAGE(B7:B11),0),0)",! I use the average lease expense over the first five years,,,
,,,,to estimate the number of years of expenses in yr 6,,,
Converting Operating Leases into debt,,,,,,,
Year,Commitment,Present Value,,,,,
=A7,=B7,=B22/(1+$C$15)^A22,,,,,
=A8,=B8,=B23/(1+$C$15)^A23,,,,,
=A9,=B9,=B24/(1+$C$15)^A24,,,,,
=A10,=B10,=B25/(1+$C$15)^A25,,,,,
=A11,=B11,=B26/(1+$C$15)^A26,,,,,
=A12,"=IF(B12>0,IF(D18>0,B12/D18,B12),0)","=IF(D18>0,(B27*(1-(1+C15)^(-D18))/C15)/(1+$C$15)^5,B27/(1+C15)^6)",! Commitment beyond year 6 converted into an annuity for ten years,,,,
Debt Value of leases =,,=SUM(C22:C27),,,,,
,,,,,,,
Restated Financials,,,,,,,
Depreciation on Operating Lease Asset =,,,,,=C28/(5+D18),! I use straight line depreciation,
Adjustment to Operating Earnings =,,,,,=E4-F31,! Add this amount to pre-tax operating income,
Adjustment to Total Debt outstanding =,,,,,=C28,! Add this amount to debt,
Adjustment to Depreciation =,,,,,=C28/(5+D18),,